"nombredestino";"tiempo_uso_avg";"count"
"RETIRO";"19";"79434"
"PZA. ROMA";"23";"61788"
"PZA. DE MAYO";"26";"55310"
"UCA PUERTO MADERO";"24";"53767"
"PARQUE LAS HERAS";"28";"52635"
"DERECHO";"25";"52045"
"CONGRESO";"24";"46412"
"PACIFICO";"37";"45692"
"SUIPACHA";"26";"43368"
"PLAZA HOUSSAY";"23";"38097"
"PLAZA VICENTE LOPEZ";"23";"37413"
"ONCE";"29";"37269"
"ADUANA";"27";"36145"
"PLAZA ITALIA";"40";"35982"
"INDEPENDENCIA";"26";"35657"
"EMMA DE LA BARRA";"27";"35574"
"OBELISCO";"28";"34787"
"PARQUE LEZAMA";"30";"34615"
"PLAZA ALMAGRO";"30";"34464"
"TRIBUNALES";"24";"33275"
"PLAZA GÃœEMES";"29";"29363"
"PZA. SAN MARTIN";"24";"24914"
"VIRREY CEVALLOS";"28";"22940"
"ALSINA ";"28";"21661"
"ARENALES";"23";"20052"
"PARQUE PATRICIOS ";"39";"12481"
"MONTEVIDEO";"24";"12101"
"PARQUE CENTENARIO";"33";"11589"
"DISTRITO AUDIOVISUAL";"38";"10133"
"PLAZA EMILIO MITRE";"23";"8952"
"PLAZA BOEDO";"30";"7286"
"CMD";"46";"1182"
